epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,22476.9,0.50477,0.39739,0.90822,0.9861,0.96858,0.99264,0.87126,0.53549,0.30327,0.89905,0.000371313,0.000371313,0.000371313
43,23002.9,0.50066,0.39096,0.91036,0.98463,0.97327,0.99312,0.83414,0.6748,0.33057,0.96176,0.000365125,0.000365125,0.000365125
44,23534,0.51284,0.39834,0.91156,0.97725,0.9775,0.99344,0.86825,0.56018,0.3021,0.91642,0.000358938,0.000358938,0.000358938
45,24063.6,0.50208,0.3891,0.91168,0.98736,0.98209,0.9938,0.85745,0.60759,0.30606,0.93399,0.00035275,0.00035275,0.00035275
46,24594.8,0.4998,0.38974,0.9063,0.9875,0.97773,0.99349,0.82977,0.68955,0.31869,0.97287,0.000346563,0.000346563,0.000346563
47,25126.1,0.49148,0.37751,0.9007,0.9835,0.98461,0.9938,0.8605,0.61374,0.30622,0.93276,0.000340375,0.000340375,0.000340375
48,25659.2,0.49458,0.37834,0.90252,0.94843,0.96151,0.98177,0.8296,0.65697,0.34165,0.95608,0.000334188,0.000334188,0.000334188
49,26191.9,0.48799,0.37928,0.90521,0.98027,0.97717,0.99327,0.82646,0.70535,0.32539,0.97818,0.000328,0.000328,0.000328
50,26723.2,0.49249,0.37545,0.9031,0.98432,0.97773,0.99442,0.85615,0.6203,0.30278,0.93818,0.000321812,0.000321812,0.000321812
51,27253.5,0.48577,0.37131,0.89993,0.99155,0.9855,0.99454,0.83272,0.68589,0.30901,0.97043,0.000315625,0.000315625,0.000315625
52,27785.7,0.49315,0.37164,0.90257,0.98047,0.98119,0.99338,0.84418,0.63806,0.30838,0.94384,0.000309437,0.000309437,0.000309437
53,28316.7,0.48753,0.37037,0.9,0.9879,0.98136,0.99407,0.87109,0.55838,0.28398,0.91017,0.00030325,0.00030325,0.00030325
54,28848.2,0.47688,0.36556,0.90005,0.98739,0.98236,0.99396,0.85634,0.60114,0.29297,0.93231,0.000297063,0.000297063,0.000297063
55,29378.8,0.47582,0.36162,0.89742,0.98276,0.98099,0.99368,0.83495,0.69564,0.31397,0.97129,0.000290875,0.000290875,0.000290875
56,29910.2,0.47351,0.36301,0.89752,0.98676,0.98698,0.99436,0.8397,0.6644,0.30412,0.96014,0.000284688,0.000284688,0.000284688
57,30440.8,0.49041,0.36811,0.90361,0.99011,0.98266,0.99444,0.85163,0.64376,0.29344,0.94418,0.0002785,0.0002785,0.0002785
58,30970.8,0.46819,0.35614,0.89593,0.98616,0.98749,0.99441,0.82491,0.72242,0.30978,0.99689,0.000272313,0.000272313,0.000272313
59,31501.5,0.47582,0.35377,0.89444,0.98975,0.98843,0.99457,0.84858,0.63685,0.28936,0.94413,0.000266125,0.000266125,0.000266125
